24768.75	24769.75	other
24769.75	24770.25	music
24770.25	24774.75	other
24774.75	24820.25	music
24820.25	24830.25	other
24830.25	25146.75	music
25146.75	25165.25	other
25165.25	25205.25	music
25205.25	25220.25	other
25220.25	25491.75	music
25491.75	25610.25	other
25610.25	25815.25	music
25815.25	25825.25	other
25825.25	27110.25	music
27110.25	27285.25	other
27285.25	27405.25	music
27405.25	27425.25	other
27425.25	27580.25	music
27580.25	27600.25	other
27600.25	27670.25	music
27670.25	27690.25	other
27690.25	27725.25	music
27725.25	27730.25	other
27730.25	27810.25	music
27810.25	27815.25	other
27815.25	29624.25	music
29624.25	29625.25	other
29625.25	29630.25	music
29630.25	29635.25	other
29635.25	29640.25	music
29640.25	29645.25	other
29645.25	29685.25	music
29685.25	29690.25	other
29690.25	29850.25	music
29850.25	29855.25	other
29855.25	30069.25	music
30069.25	30080.25	other
30080.25	30675.25	music
30675.25	30690.25	other
30690.25	32005.25	music
32005.25	32010.25	other
32010.25	32380.25	music
32380.25	32400.25	other
32400.25	34230.25	music
34230.25	34263.25	other
34263.25	34280.25	music
34280.25	34295.25	other
34295.25	34495.25	music
34495.25	34499.75	other
34499.75	34500.02285714286	other
